what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1338900249590
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1338900249590
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1338900249591
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1338900249591
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1338900249592
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1338900249592
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1338900249593
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1338900249593
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1338900249594
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1338900249594
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1338900249594
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1338900249596
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1338900249597
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1338900249599
os,sysinfo,,,"linux",1338900249606
arch,sysinfo,,,"x86",1338900249606
ws,sysinfo,,,"gtk",1338900249607
locale,sysinfo,,,"pt_BR",1338900249607
processors,sysinfo,,,"4",1338900249607
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338900249607
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1338900249607
java.specification.name,sysinfo,,,"Java Platform API Specification",1338900249607
java.specification.vendor,sysinfo,,,"Oracle Corporation",1338900249607
java.specification.version,sysinfo,,,"1.7",1338900249607
java.vendor,sysinfo,,,"Oracle Corporation",1338900249607
java.version,sysinfo,,,"1.7.0_04",1338900249607
java.vm.info,sysinfo,,,"mixed mode",1338900249607
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1338900249607
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338900249607
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1338900249607
java.vm.specification.version,sysinfo,,,"1.7",1338900249607
java.vm.vendor,sysinfo,,,"Oracle Corporation",1338900249607
java.vm.version,sysinfo,,,"23.0-b21",1338900249607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900256309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900256334
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1338900325804
error,log,,,"DDMS files not found: /home/luiz-varela/android-sdk-linux/platform-tools/adb ",1338900325825
error,log,,,"DDMS files not found: /home/luiz-varela/android-sdk-linux/platform-tools/adb ",1338900325826
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1338900325834
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1338900326021
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1338900326063
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1338900326065
error,log,,,"Error: null",1338900415293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900521991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900606700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900606750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900606804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900663619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900671563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900713378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900715859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1338900722219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900722241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900723615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900723676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900723720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338902335131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338902337677
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338902339179
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1338902339557
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1338902339566
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1338902339818
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1338902339820
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1338902339825
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1338902339835
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1338902339843
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1338902339851
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1338902339855
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1338902339860
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1338902339861
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1338902339861
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1338902339870
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1338902339876
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1338902339877
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1338902339883
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1338902339887
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1338902339928
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1338902339928
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1338902339929
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1338902339935
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1338902339935
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1338902339936
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1338902339949
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1338902339957
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1338902339968
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1338902339969
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1338902357488
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1338902357491
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1338902357491
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1338902357492
